Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Ratings_0,Ratings_1,Ratings_2,Ratings_Source,Ratings_Value
The Purge,2013,R,07 Jun 2013,85 min,"Horror, Sci-Fi, Thriller",James DeMonaco,James DeMonaco,"Ethan Hawke, Lena Headey, Max Burkholder","A wealthy family is held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal.",English,"United States, France",2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTQzNTcwODEyM15BMl5BanBnXkFtZTcwMjM1MDI0OQ@@._V1_SX300.jpg,41,5.7,"248,180",tt2184339,movie,N/A,"$64,473,115",N/A,N/A,True,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}","{'Source': 'Rotten Tomatoes', 'Value': '41%'}","{'Source': 'Metacritic', 'Value': '41/100'}",Internet Movie Database,5.7/10
The Purge,2013,R,07 Jun 2013,85 min,"Horror, Sci-Fi, Thriller",James DeMonaco,James DeMonaco,"Ethan Hawke, Lena Headey, Max Burkholder","A wealthy family is held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal.",English,"United States, France",2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTQzNTcwODEyM15BMl5BanBnXkFtZTcwMjM1MDI0OQ@@._V1_SX300.jpg,41,5.7,"248,180",tt2184339,movie,N/A,"$64,473,115",N/A,N/A,True,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}","{'Source': 'Rotten Tomatoes', 'Value': '41%'}","{'Source': 'Metacritic', 'Value': '41/100'}",Rotten Tomatoes,41%
The Purge,2013,R,07 Jun 2013,85 min,"Horror, Sci-Fi, Thriller",James DeMonaco,James DeMonaco,"Ethan Hawke, Lena Headey, Max Burkholder","A wealthy family is held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal.",English,"United States, France",2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTQzNTcwODEyM15BMl5BanBnXkFtZTcwMjM1MDI0OQ@@._V1_SX300.jpg,41,5.7,"248,180",tt2184339,movie,N/A,"$64,473,115",N/A,N/A,True,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}","{'Source': 'Rotten Tomatoes', 'Value': '41%'}","{'Source': 'Metacritic', 'Value': '41/100'}",Metacritic,41/100
